id,наименование_задачи,тип_задачи,технологический_стек,срок_выполнения_дней,цена_руб,ценовой_диапазон
854,Вёрстка личного кабинета,Вёрстка,HTML+CSS+BEM,5,3100,до 5 000 ₽
855,Мультивендорный магазин,Интернет-магазин,WooCommerce,10,43000,30 000–60 000 ₽
856,Прогноз оттока клиентов,ML-модель,XGBoost+CatBoost,19,19000,15 000–30 000 ₽
857,Вёрстка дашборда аналитики,Вёрстка,React+CSS Modules,6,11500,5 000–15 000 ₽
858,Лендинг для онлайн-курса,Лендинг,HTML+Bootstrap,19,6000,5 000–15 000 ₽
859,Приложение учёта финансов,Мобильное приложение,Flutter+Firebase,51,34000,30 000–60 000 ₽
860,Приложение трекинга тренировок,Мобильное приложение,Swift (iOS),52,73500,60 000–120 000 ₽
861,Клиентское приложение для барбершопа,Мобильное приложение,React Native+TS,21,64500,60 000–120 000 ₽
862,Каталог товаров с корзиной,Интернет-магазин,Shopify,16,42700,30 000–60 000 ₽
863,Классификация обращений,ML-модель,XGBoost+CatBoost,13,22000,15 000–30 000 ₽
864,Учебное приложение с карточками,Мобильное приложение,React Native+TS,47,27000,15 000–30 000 ₽
865,MVP SaaS с подпиской,Fullstack-разработка,React+Spring Boot,28,69500,60 000–120 000 ₽
866,Drag-and-drop список,UI-компонент,Svelte,2,4000,до 5 000 ₽
867,Дизайн-система и UI-кит,UI/UX Дизайн,Sketch,8,4600,до 5 000 ₽
868,GraphQL API для портала,Написание API,NestJS+TypeScript,11,11000,5 000–15 000 ₽
869,Сбор отзывов с Google Maps,Парсинг данных,Python+Selenium,14,6500,5 000–15 000 ₽
870,Промо-страница для нового продукта,Лендинг,HTML+CSS+JS,1,9500,5 000–15 000 ₽
871,Автобэкапы PostgreSQL,CI/CD и DevOps,Ansible,10,13000,5 000–15 000 ₽
872,Парсинг объявлений о недвижимости,Парсинг данных,Python+requests,1,4300,до 5 000 ₽
873,Прогноз оттока клиентов,ML-модель,XGBoost+CatBoost,3,30600,30 000–60 000 ₽
874,Дата-пикер с диапазоном,UI-компонент,React+Storybook,10,6500,5 000–15 000 ₽
875,MVP SaaS с подпиской,Fullstack-разработка,Next.js+Node.js+MongoDB,29,50500,30 000–60 000 ₽
876,Карусель с лайтбоксом,UI-компонент,React+TypeScript,10,5000,5 000–15 000 ₽
877,Вёрстка личного кабинета,Вёрстка,HTML+Tailwind,7,4000,до 5 000 ₽
878,React-таблица с сортировкой,UI-компонент,Vue.js,7,3500,до 5 000 ₽
879,API авторизации JWT и OAuth,Написание API,Node.js+Express,4,11500,5 000–15 000 ₽
880,Дизайн дашборда аналитики,UI/UX Дизайн,Adobe XD,13,6800,5 000–15 000 ₽
881,Вёрстка дашборда аналитики,Вёрстка,Vue.js+CSS,1,14000,5 000–15 000 ₽
882,Интеграция Bitrix24,Автоматизация и скрипты,Python+aiogram,9,8000,5 000–15 000 ₽
883,Платформа онлайн-курсов с оплатой,Fullstack-разработка,React+Kotlin+PostgreSQL,45,84000,60 000–120 000 ₽
884,Промо-страница для нового продукта,Лендинг,WordPress,14,4000,до 5 000 ₽
885,Лендинг для агентства недвижимости,Лендинг,HTML+CSS+JS,13,5000,5 000–15 000 ₽
886,Компонент загрузки файлов,UI-компонент,Svelte,9,3000,до 5 000 ₽
887,GraphQL API для портала,Написание API,Django REST,17,18000,15 000–30 000 ₽
888,Прогноз оттока клиентов,ML-модель,scikit-learn+pandas,20,16000,15 000–30 000 ₽
889,Вёрстка личного кабинета,Вёрстка,HTML+CSS+BEM,4,3000,до 5 000 ₽
890,Лендинг с видео-фоном и анимацией,Лендинг,HTML+CSS+JS,19,6000,5 000–15 000 ₽
891,API авторизации JWT и OAuth,Написание API,Spring Boot,2,42000,30 000–60 000 ₽
892,Вёрстка главной страницы по макету Figma,Вёрстка,HTML+CSS+BEM,10,2500,до 5 000 ₽
893,Вёрстка формы wizard,Вёрстка,HTML+Tailwind,1,8000,5 000–15 000 ₽
894,Вёрстка личного кабинета,Вёрстка,HTML+Tailwind,4,3000,до 5 000 ₽
895,UX-аудит сайта,UI/UX Дизайн,Figma+FigJam,8,22600,15 000–30 000 ₽
896,Адаптивная вёрстка корпоративного сайта,Вёрстка,Vue.js+CSS,8,4900,до 5 000 ₽
897,Дизайн дашборда аналитики,UI/UX Дизайн,Figma+Principle,20,25500,15 000–30 000 ₽
898,Kubernetes-манифесты,CI/CD и DevOps,Docker Compose,8,8000,5 000–15 000 ₽
899,Продающий лендинг для SaaS,Лендинг,React,18,5500,5 000–15 000 ₽
900,Автобэкапы PostgreSQL,CI/CD и DevOps,Docker+GitHub Actions,5,5000,5 000–15 000 ₽
901,Мониторинг наличия на Wildberries,Парсинг данных,Python+BeautifulSoup,6,4400,до 5 000 ₽
902,Мониторинг Prometheus/Grafana,CI/CD и DevOps,Ansible,9,13500,5 000–15 000 ₽
903,Приложение для бронирования,Мобильное приложение,Flutter+Firebase,22,35000,30 000–60 000 ₽
904,GitHub Actions для деплоя,CI/CD и DevOps,Ansible,6,8000,5 000–15 000 ₽
905,Переписать N+1 в ORM,Оптимизация SQL,PostgreSQL,2,11000,5 000–15 000 ₽
906,Telegram-бот для уведомлений,Автоматизация и скрипты,n8n,12,5000,5 000–15 000 ₽
907,Лендинг для медицинской клиники,Лендинг,HTML+Bootstrap,7,3000,до 5 000 ₽
908,Многопользовательский чат,Fullstack-разработка,React+Spring Boot,27,94000,60 000–120 000 ₽
909,Telegram-бот для уведомлений,Автоматизация и скрипты,Bash+Python,1,2000,до 5 000 ₽
910,Одностраничный сайт для юридических услуг,Лендинг,React,7,11800,5 000–15 000 ₽
911,Лендинг для агентства недвижимости,Лендинг,React,10,7000,5 000–15 000 ₽
912,Pixel-perfect вёрстка карточки товара,Вёрстка,Vue.js+CSS,9,10000,5 000–15 000 ₽
913,Магазин детских товаров,Интернет-магазин,React+Node.js,23,77500,60 000–120 000 ₽
914,CRUD API системы задач,Написание API,Spring Boot,18,20000,15 000–30 000 ₽
915,Классификация обращений,ML-модель,Hugging Face,8,30000,30 000–60 000 ₽
916,Full-text search PostgreSQL,Оптимизация SQL,PostgreSQL+ORM,3,5000,5 000–15 000 ₽
917,Приложение для записи к врачу,Мобильное приложение,Swift (iOS),44,90700,60 000–120 000 ₽
918,Nginx+SSL+reverse proxy,CI/CD и DevOps,Ansible,4,8000,5 000–15 000 ₽
919,Вёрстка мобильного меню,Вёрстка,HTML+CSS+BEM,6,3500,до 5 000 ₽
920,Дизайн-система и UI-кит,UI/UX Дизайн,Sketch,3,18000,15 000–30 000 ₽
921,Вёрстка мобильного меню,Вёрстка,React+CSS Modules,1,12900,5 000–15 000 ₽
922,Интеграция Bitrix24,Автоматизация и скрипты,Python+openpyxl,12,7500,5 000–15 000 ₽
923,Мультивендорный магазин,Интернет-магазин,WooCommerce,10,17200,15 000–30 000 ₽
924,Автовыгрузка данных в Excel,Автоматизация и скрипты,Python+aiogram,7,5300,5 000–15 000 ₽
925,API для мобильного приложения,Написание API,NestJS+TypeScript,16,22000,15 000–30 000 ₽
926,Адаптивная вёрстка корпоративного сайта,Вёрстка,HTML+Bootstrap 5,4,4000,до 5 000 ₽
927,Автовыгрузка данных в Excel,Автоматизация и скрипты,Bash+Python,8,5000,5 000–15 000 ₽
928,Вёрстка дашборда аналитики,Вёрстка,HTML+CSS+BEM,12,4300,до 5 000 ₽
929,Детекция аномалий,ML-модель,Hugging Face,13,28000,15 000–30 000 ₽
930,Адаптивная вёрстка корпоративного сайта,Вёрстка,Next.js+SCSS,12,5000,5 000–15 000 ₽
931,Магазин детских товаров,Интернет-магазин,Laravel+Vue,15,73000,60 000–120 000 ₽
932,API для мобильного приложения,Написание API,Node.js+Express,19,17600,15 000–30 000 ₽
933,Адаптивная вёрстка корпоративного сайта,Вёрстка,HTML+Bootstrap 5,13,3000,до 5 000 ₽
934,CRUD API системы задач,Написание API,FastAPI+PostgreSQL,17,10100,5 000–15 000 ₽
935,Лендинг для службы доставки,Лендинг,WordPress,21,8000,5 000–15 000 ₽
936,Приложение учёта финансов,Мобильное приложение,Flutter,45,53300,30 000–60 000 ₽
937,API интеграции с 1С,Написание API,Kotlin+Ktor,9,30300,30 000–60 000 ₽
938,Мониторинг наличия на Wildberries,Парсинг данных,Python+Playwright,9,6000,5 000–15 000 ₽
939,Дата-пикер с диапазоном,UI-компонент,Angular,10,5000,5 000–15 000 ₽
940,Лендинг для службы доставки,Лендинг,React,21,7000,5 000–15 000 ₽
941,Скрипт обработки изображений,Автоматизация и скрипты,Python+aiogram,1,3000,до 5 000 ₽
942,Ювелирный интернет-магазин,Интернет-магазин,Shopify,33,11200,5 000–15 000 ₽
943,Вёрстка email-шаблона,Вёрстка,HTML+CSS+BEM,5,6000,5 000–15 000 ₽
944,Лендинг для фитнес-клуба,Лендинг,HTML+CSS+JS,13,9000,5 000–15 000 ₽
945,Магазин детских товаров,Интернет-магазин,WooCommerce,41,33000,30 000–60 000 ₽
946,Интеграция Bitrix24,Автоматизация и скрипты,Python+openpyxl,9,8000,5 000–15 000 ₽
947,Вёрстка мобильного меню,Вёрстка,HTML+CSS+BEM,13,5400,5 000–15 000 ₽
948,API авторизации JWT и OAuth,Написание API,Node.js+Express,8,11000,5 000–15 000 ₽
949,MVP приложения доставки еды,Мобильное приложение,Swift (iOS),19,40000,30 000–60 000 ₽
950,GitHub Actions для деплоя,CI/CD и DevOps,Terraform+AWS,5,29500,15 000–30 000 ₽
951,React-таблица с сортировкой,UI-компонент,Svelte,9,3700,до 5 000 ₽
952,Вёрстка главной страницы по макету Figma,Вёрстка,Vue.js+CSS,9,5000,5 000–15 000 ₽
953,Kubernetes-манифесты,CI/CD и DevOps,GitLab CI,8,16000,15 000–30 000 ₽
954,MVP приложения доставки еды,Мобильное приложение,Kotlin (Android),23,95400,60 000–120 000 ₽
955,MVP приложения доставки еды,Мобильное приложение,React Native+Redux,31,56500,30 000–60 000 ₽
956,API интеграции с 1С,Написание API,Go+Gin,5,25200,15 000–30 000 ₽
957,Лендинг с видео-фоном и анимацией,Лендинг,HTML+Bootstrap,2,8000,5 000–15 000 ₽
958,Лендинг для агентства недвижимости,Лендинг,HTML+CSS+JS,2,3500,до 5 000 ₽
959,Детекция аномалий,ML-модель,LightGBM,16,16000,15 000–30 000 ₽
960,Full-text search PostgreSQL,Оптимизация SQL,ClickHouse,10,16000,15 000–30 000 ₽
961,Интеграция Bitrix24,Автоматизация и скрипты,Bash+Python,8,7000,5 000–15 000 ₽
962,REST API для каталога с пагинацией,Написание API,Node.js+Express,2,9000,5 000–15 000 ₽
963,Синхронизация CRM и 1С,Автоматизация и скрипты,n8n,8,3500,до 5 000 ₽
964,Full-text search PostgreSQL,Оптимизация SQL,MySQL,7,8500,5 000–15 000 ₽
965,Вёрстка формы wizard,Вёрстка,HTML+CSS+BEM,11,5500,5 000–15 000 ₽
966,Вёрстка главной страницы по макету Figma,Вёрстка,React+CSS Modules,11,7000,5 000–15 000 ₽
967,Приложение трекинга тренировок,Мобильное приложение,Flutter,33,20500,15 000–30 000 ₽
968,Kubernetes-манифесты,CI/CD и DevOps,GitLab CI,2,15000,15 000–30 000 ₽
969,Учебное приложение с карточками,Мобильное приложение,React Native+Redux,33,46000,30 000–60 000 ₽
970,Оптимизация агрегатов ClickHouse,Оптимизация SQL,SQL Server,1,11300,5 000–15 000 ₽
971,Индексирование и рефакторинг JOIN,Оптимизация SQL,BigQuery,5,5500,5 000–15 000 ₽
972,Прогноз оттока клиентов,ML-модель,LightGBM,10,9500,5 000–15 000 ₽
973,Вёрстка личного кабинета,Вёрстка,HTML+Tailwind,3,4500,до 5 000 ₽
974,Парсинг объявлений о недвижимости,Парсинг данных,Python+Selenium,12,8000,5 000–15 000 ₽
975,Маркетплейс для мастеров,Интернет-магазин,WooCommerce,20,16000,15 000–30 000 ₽
976,Адаптивная вёрстка корпоративного сайта,Вёрстка,Vue.js+CSS,5,6000,5 000–15 000 ₽
977,Одностраничный сайт для юридических услуг,Лендинг,React,15,11500,5 000–15 000 ₽
978,Лендинг с видео-фоном и анимацией,Лендинг,React,3,15500,15 000–30 000 ₽
979,Одностраничный сайт для юридических услуг,Лендинг,Next.js,7,14000,5 000–15 000 ₽
980,Автобэкапы PostgreSQL,CI/CD и DevOps,Docker+GitHub Actions,8,6900,5 000–15 000 ₽
981,Приложение учёта финансов,Мобильное приложение,React Native+Redux,26,65000,60 000–120 000 ₽
982,Вёрстка формы wizard,Вёрстка,React+CSS Modules,11,13000,5 000–15 000 ₽
983,API авторизации JWT и OAuth,Написание API,Go+Gin,16,17500,15 000–30 000 ₽
984,Drag-and-drop список,UI-компонент,Svelte,2,3000,до 5 000 ₽
985,Карусель с лайтбоксом,UI-компонент,Angular,7,5000,5 000–15 000 ₽
986,Nginx+SSL+reverse proxy,CI/CD и DevOps,Docker Compose,6,9000,5 000–15 000 ₽
987,Webhook-интеграция с Telegram,Написание API,Kotlin+Ktor,18,17000,15 000–30 000 ₽
988,Лендинг для фитнес-клуба,Лендинг,React,14,15000,15 000–30 000 ₽
989,API авторизации JWT и OAuth,Написание API,Spring Boot,18,13500,5 000–15 000 ₽
990,Мониторинг Prometheus/Grafana,CI/CD и DevOps,Docker Compose,3,5900,5 000–15 000 ₽
991,Лендинг для медицинской клиники,Лендинг,HTML+Bootstrap,21,5000,5 000–15 000 ₽
992,Одностраничный сайт для юридических услуг,Лендинг,WordPress,6,10000,5 000–15 000 ₽
993,Nginx+SSL+reverse proxy,CI/CD и DevOps,Kubernetes+Helm,5,24000,15 000–30 000 ₽
994,Интернет-аптека с кабинетом,Интернет-магазин,Shopify,20,23000,15 000–30 000 ₽
995,Дашборд с графиками,UI-компонент,React+TypeScript,3,11000,5 000–15 000 ₽
996,Дизайн лендинга в Figma,UI/UX Дизайн,Figma,7,16000,15 000–30 000 ₽
997,Вёрстка страницы оформления заказа,Вёрстка,Next.js+SCSS,14,6000,5 000–15 000 ₽
998,Автовыгрузка данных в Excel,Автоматизация и скрипты,Python,2,3000,до 5 000 ₽
999,Nginx+SSL+reverse proxy,CI/CD и DevOps,Ansible,6,8000,5 000–15 000 ₽
1000,Дашборд с графиками,UI-компонент,React+TypeScript,6,7000,5 000–15 000 ₽
1001,Лендинг для event-агентства,Лендинг,HTML+Bootstrap,1,7900,5 000–15 000 ₽
1002,Приложение для записи к врачу,Мобильное приложение,React Native+Redux,45,27000,15 000–30 000 ₽
1003,Лендинг для онлайн-курса,Лендинг,HTML+Bootstrap,15,5500,5 000–15 000 ₽
1004,API авторизации JWT и OAuth,Написание API,Spring Boot,15,15300,15 000–30 000 ₽
1005,Компонент загрузки файлов,UI-компонент,React+Storybook,1,11000,5 000–15 000 ₽
1006,Лендинг для службы доставки,Лендинг,React,21,6800,5 000–15 000 ₽
1007,Лендинг с видео-фоном и анимацией,Лендинг,Vue.js,17,7000,5 000–15 000 ₽
1008,Парсер новостей,Парсинг данных,Scrapy,3,7000,5 000–15 000 ₽
1009,Лендинг для службы доставки,Лендинг,HTML+CSS+JS,2,4100,до 5 000 ₽
1010,Вёрстка административной панели,Вёрстка,Vue.js+CSS,7,4000,до 5 000 ₽
1011,Приложение учёта финансов,Мобильное приложение,Kotlin (Android),31,41000,30 000–60 000 ₽
1012,Вёрстка личного кабинета,Вёрстка,HTML+Bootstrap 5,7,6200,5 000–15 000 ₽
1013,Вёрстка дашборда аналитики,Вёрстка,HTML+CSS+BEM,1,7000,5 000–15 000 ₽
1014,Лендинг для агентства недвижимости,Лендинг,Vue.js,18,8000,5 000–15 000 ₽
1015,REST API для каталога с пагинацией,Написание API,Kotlin+Ktor,15,18800,15 000–30 000 ₽
1016,Лендинг для event-агентства,Лендинг,HTML+Bootstrap,21,7800,5 000–15 000 ₽
1017,Приложение трекинга тренировок,Мобильное приложение,React Native+TS,26,26000,15 000–30 000 ₽
1018,Лендинг для детского лагеря,Лендинг,WordPress,19,9000,5 000–15 000 ₽
1019,Клиентское приложение для барбершопа,Мобильное приложение,Flutter+Firebase,48,34500,30 000–60 000 ₽
1020,Прогноз оттока клиентов,ML-модель,XGBoost+CatBoost,4,11000,5 000–15 000 ₽
1021,REST API для каталога с пагинацией,Написание API,Spring Boot,20,13000,5 000–15 000 ₽
1022,Промо-страница для нового продукта,Лендинг,React,7,9500,5 000–15 000 ₽
1023,Pixel-perfect вёрстка карточки товара,Вёрстка,Next.js+SCSS,10,7000,5 000–15 000 ₽
1024,Каталог с корзиной на Flutter,Мобильное приложение,Kotlin (Android),53,36500,30 000–60 000 ₽
1025,Переписать N+1 в ORM,Оптимизация SQL,SQL Server,8,11000,5 000–15 000 ₽
1026,Планировщик с Cron,Автоматизация и скрипты,Python,13,4000,до 5 000 ₽
1027,Accordion FAQ,UI-компонент,Angular,4,8000,5 000–15 000 ₽
1028,API авторизации JWT и OAuth,Написание API,Go+Gin,19,28500,15 000–30 000 ₽
1029,Редизайн личного кабинета,UI/UX Дизайн,Figma+Principle,4,15000,15 000–30 000 ₽
1030,Лендинг для службы доставки,Лендинг,Next.js,8,13900,5 000–15 000 ₽
1031,Дизайн дашборда аналитики,UI/UX Дизайн,Adobe XD,16,15000,15 000–30 000 ₽
1032,Вёрстка мобильного меню,Вёрстка,Vue.js+CSS,11,4700,до 5 000 ₽
1033,Pixel-perfect вёрстка карточки товара,Вёрстка,HTML+CSS+BEM,1,8000,5 000–15 000 ₽
1034,Лендинг с видео-фоном и анимацией,Лендинг,Vue.js,4,11000,5 000–15 000 ₽
1035,Лендинг для службы доставки,Лендинг,HTML+CSS+JS,13,2500,до 5 000 ₽
1036,Парсер новостей,Парсинг данных,Python+requests,5,8600,5 000–15 000 ₽
1037,Синхронизация CRM и 1С,Автоматизация и скрипты,Bash+Python,1,3000,до 5 000 ₽
1038,CRUD API системы задач,Написание API,Go+Gin,3,35000,30 000–60 000 ₽
1039,Магазин электроники с фильтрами,Интернет-магазин,React+Node.js,26,69000,60 000–120 000 ₽
1040,Вёрстка административной панели,Вёрстка,HTML+Bootstrap 5,10,5000,5 000–15 000 ₽
1041,Планировщик с Cron,Автоматизация и скрипты,Python+aiogram,2,8000,5 000–15 000 ₽
1042,Автобэкапы PostgreSQL,CI/CD и DevOps,Docker Compose,6,6000,5 000–15 000 ₽
1043,Drag-and-drop список,UI-компонент,Angular,9,3500,до 5 000 ₽
1044,Дата-пикер с диапазоном,UI-компонент,Svelte,9,5500,5 000–15 000 ₽
1045,Мониторинг Prometheus/Grafana,CI/CD и DevOps,Docker Compose,8,4500,до 5 000 ₽
1046,Дизайн лендинга в Figma,UI/UX Дизайн,Figma,8,6800,5 000–15 000 ₽
1047,Система бронирования,Fullstack-разработка,Vue.js+Django+PostgreSQL,45,60000,60 000–120 000 ₽
1048,Дизайн onboarding-flow,UI/UX Дизайн,Sketch,4,13500,5 000–15 000 ₽
1049,Вёрстка дашборда аналитики,Вёрстка,React+CSS Modules,8,7000,5 000–15 000 ₽
1050,Pixel-perfect вёрстка карточки товара,Вёрстка,Vue.js+CSS,1,16000,15 000–30 000 ₽
1051,Дизайн email-шаблона,UI/UX Дизайн,Sketch,16,13400,5 000–15 000 ₽
1052,Каталог с корзиной на Flutter,Мобильное приложение,React Native+Redux,59,53500,30 000–60 000 ₽
1053,API управления заказами,Написание API,FastAPI+PostgreSQL,3,18000,15 000–30 000 ₽
1054,Лендинг для службы доставки,Лендинг,Vue.js,18,9000,5 000–15 000 ₽
1055,Синхронизация CRM и 1С,Автоматизация и скрипты,Bash+Python,6,2000,до 5 000 ₽
1056,Докеризация приложения,CI/CD и DevOps,Docker+GitHub Actions,9,10000,5 000–15 000 ₽
1057,Вёрстка административной панели,Вёрстка,HTML+Tailwind,7,4000,до 5 000 ₽
1058,Приложение учёта финансов,Мобильное приложение,Flutter,21,24000,15 000–30 000 ₽
1059,Вёрстка дашборда аналитики,Вёрстка,HTML+Bootstrap 5,7,3000,до 5 000 ₽
1060,Каталог с корзиной на Flutter,Мобильное приложение,Kotlin (Android),32,35000,30 000–60 000 ₽
1061,Drag-and-drop список,UI-компонент,React+Tailwind,2,2500,до 5 000 ₽
1062,Переписать N+1 в ORM,Оптимизация SQL,BigQuery,10,7100,5 000–15 000 ₽
1063,Парсер товаров с маркетплейса,Парсинг данных,Python+BeautifulSoup,4,4200,до 5 000 ₽
1064,Детекция аномалий,ML-модель,scikit-learn+pandas,7,11000,5 000–15 000 ₽
1065,Парсинг объявлений о недвижимости,Парсинг данных,Python+requests,9,6000,5 000–15 000 ₽
1066,Клиентское приложение для барбершопа,Мобильное приложение,Flutter,16,23500,15 000–30 000 ₽
1067,Мониторинг цен конкурентов,Парсинг данных,Python+Playwright,11,12000,5 000–15 000 ₽
1068,Портал управления заказами,Fullstack-разработка,React+Spring Boot,50,42500,30 000–60 000 ₽
1069,Миграция на новый VPS,CI/CD и DevOps,GitLab CI,1,14100,5 000–15 000 ₽
1070,Kubernetes-манифесты,CI/CD и DevOps,Docker Compose,5,8000,5 000–15 000 ₽
1071,Лендинг для детского лагеря,Лендинг,React,2,9600,5 000–15 000 ₽
1072,Дашборд с графиками,UI-компонент,React+Tailwind,1,11000,5 000–15 000 ₽
1073,Каталог с корзиной на Flutter,Мобильное приложение,React Native+Redux,18,32000,30 000–60 000 ₽
1074,Планировщик с Cron,Автоматизация и скрипты,Bash+Python,9,5000,5 000–15 000 ₽
1075,Автовыгрузка данных в Excel,Автоматизация и скрипты,n8n,6,4500,до 5 000 ₽
1076,Система бронирования,Fullstack-разработка,Next.js+Node.js+MongoDB,11,93000,60 000–120 000 ₽
1077,Клиентское приложение для барбершопа,Мобильное приложение,Flutter,44,37000,30 000–60 000 ₽
1078,Вёрстка главной страницы по макету Figma,Вёрстка,React+CSS Modules,12,14000,5 000–15 000 ₽
1079,Адаптивная вёрстка корпоративного сайта,Вёрстка,Next.js+SCSS,9,11500,5 000–15 000 ₽
1080,Прогноз оттока клиентов,ML-модель,Hugging Face,12,41000,30 000–60 000 ₽
1081,Учебное приложение с карточками,Мобильное приложение,Flutter+Firebase,55,47100,30 000–60 000 ₽
1082,Лендинг для медицинской клиники,Лендинг,Vue.js,12,15000,15 000–30 000 ₽
1083,API интеграции с 1С,Написание API,Kotlin+Ktor,15,10500,5 000–15 000 ₽
1084,Дизайн мобильного приложения (10 экранов),UI/UX Дизайн,Figma+FigJam,9,10500,5 000–15 000 ₽
1085,Мониторинг Prometheus/Grafana,CI/CD и DevOps,Ansible,9,5000,5 000–15 000 ₽
1086,Accordion FAQ,UI-компонент,React+Storybook,10,4500,до 5 000 ₽
1087,Прогнозирование стоимости задач,ML-модель,TensorFlow,12,16500,15 000–30 000 ₽
1088,Nginx+SSL+reverse proxy,CI/CD и DevOps,Docker Compose,1,6500,5 000–15 000 ₽
1089,Мониторинг цен конкурентов,Парсинг данных,Python+Selenium,6,9400,5 000–15 000 ₽
1090,Автовыгрузка данных в Excel,Автоматизация и скрипты,Bash+Python,12,2500,до 5 000 ₽
1091,Страница для сбора заявок,Лендинг,Vue.js,20,12000,5 000–15 000 ₽
1092,Приложение учёта финансов,Мобильное приложение,React Native+TS,31,31100,30 000–60 000 ₽
1093,Система бронирования,Fullstack-разработка,React+FastAPI+PostgreSQL,10,76000,60 000–120 000 ₽
1094,Дашборд с графиками,UI-компонент,React+Tailwind,9,10000,5 000–15 000 ₽
1095,Переписать N+1 в ORM,Оптимизация SQL,ClickHouse,8,11000,5 000–15 000 ₽
1096,Клиентское приложение для барбершопа,Мобильное приложение,Flutter,50,47300,30 000–60 000 ₽
1097,React-таблица с сортировкой,UI-компонент,React+Tailwind,6,4300,до 5 000 ₽
1098,Карусель с лайтбоксом,UI-компонент,React+Tailwind,7,9400,5 000–15 000 ₽
1099,Лендинг для детского лагеря,Лендинг,WordPress,1,5000,5 000–15 000 ₽
1100,Telegram-бот для уведомлений,Автоматизация и скрипты,Python+openpyxl,2,8000,5 000–15 000 ₽
1101,Pixel-perfect вёрстка карточки товара,Вёрстка,HTML+Bootstrap 5,4,6000,5 000–15 000 ₽
1102,Миграция на новый VPS,CI/CD и DevOps,Docker+GitHub Actions,7,11000,5 000–15 000 ₽
1103,Лендинг для медицинской клиники,Лендинг,WordPress,10,5100,5 000–15 000 ₽
1104,Лендинг для детского лагеря,Лендинг,WordPress,2,14000,5 000–15 000 ₽
1105,Лендинг для event-агентства,Лендинг,Next.js,9,11500,5 000–15 000 ₽
1106,CRUD API системы задач,Написание API,Kotlin+Ktor,17,20000,15 000–30 000 ₽
1107,Вёрстка дашборда аналитики,Вёрстка,Next.js+SCSS,10,4800,до 5 000 ₽
1108,Переписать N+1 в ORM,Оптимизация SQL,PostgreSQL,5,7000,5 000–15 000 ₽
1109,REST API для каталога с пагинацией,Написание API,Kotlin+Ktor,11,16000,15 000–30 000 ₽
1110,Full-text search PostgreSQL,Оптимизация SQL,PostgreSQL,2,6000,5 000–15 000 ₽
1111,Лендинг для детского лагеря,Лендинг,HTML+Bootstrap,3,3200,до 5 000 ₽
1112,Детекция аномалий,ML-модель,PyTorch,5,24100,15 000–30 000 ₽
1113,UX-аудит сайта,UI/UX Дизайн,Sketch,20,6000,5 000–15 000 ₽
1114,Парсер товаров с маркетплейса,Парсинг данных,Scrapy,1,5300,5 000–15 000 ₽
1115,Лендинг с видео-фоном и анимацией,Лендинг,WordPress,9,6000,5 000–15 000 ₽
1116,Лендинг с видео-фоном и анимацией,Лендинг,Vue.js,15,12800,5 000–15 000 ₽
1117,Парсер новостей,Парсинг данных,Scrapy,4,9500,5 000–15 000 ₽
1118,Адаптивная вёрстка корпоративного сайта,Вёрстка,React+CSS Modules,8,5000,5 000–15 000 ₽
1119,Оптимизация агрегатов ClickHouse,Оптимизация SQL,SQL Server,2,11000,5 000–15 000 ₽
1120,Лендинг для event-агентства,Лендинг,HTML+CSS+JS,1,8000,5 000–15 000 ₽
1121,Лендинг для медицинской клиники,Лендинг,HTML+CSS+JS,6,6000,5 000–15 000 ₽
1122,Рекомендательная система,ML-модель,scikit-learn+pandas,10,18000,15 000–30 000 ₽
1123,Дизайн-система и UI-кит,UI/UX Дизайн,Figma,8,15000,15 000–30 000 ₽
1124,Дизайн лендинга в Figma,UI/UX Дизайн,Figma+Principle,13,9500,5 000–15 000 ₽
1125,Вёрстка страницы оформления заказа,Вёрстка,Next.js+SCSS,10,5000,5 000–15 000 ₽
1126,Переписать N+1 в ORM,Оптимизация SQL,MySQL,2,3000,до 5 000 ₽
1127,Клиентское приложение для барбершопа,Мобильное приложение,React Native+Redux,53,42700,30 000–60 000 ₽
1128,Докеризация приложения,CI/CD и DevOps,Kubernetes+Helm,2,14000,5 000–15 000 ₽
1129,Редизайн личного кабинета,UI/UX Дизайн,Figma+Lottie,5,19000,15 000–30 000 ₽
1130,Приложение для записи к врачу,Мобильное приложение,React Native+TS,37,41500,30 000–60 000 ₽
1131,Вёрстка формы wizard,Вёрстка,HTML+Tailwind,6,8000,5 000–15 000 ₽
1132,Вёрстка главной страницы по макету Figma,Вёрстка,HTML+Bootstrap 5,13,3000,до 5 000 ₽
1133,Вёрстка формы wizard,Вёрстка,HTML+CSS+BEM,7,6000,5 000–15 000 ₽
1134,Индексирование и рефакторинг JOIN,Оптимизация SQL,BigQuery,9,8500,5 000–15 000 ₽
1135,Парсер новостей,Парсинг данных,Python+Selenium,5,4000,до 5 000 ₽
1136,Компонент загрузки файлов,UI-компонент,React+Storybook,2,7000,5 000–15 000 ₽
1137,Переписать N+1 в ORM,Оптимизация SQL,PostgreSQL+ORM,4,3900,до 5 000 ₽
1138,Миграция на новый VPS,CI/CD и DevOps,Kubernetes+Helm,8,12000,5 000–15 000 ₽
1139,GraphQL API для портала,Написание API,Django REST,4,9500,5 000–15 000 ₽
